tweet_id,tweet_text,sector,sentiment_score,neg_pos
1573027661240496128,"Unfortunately spreading Airport across Regional Capital isn't  Best for Ghana.
Let invest in Six Lanes Double road network to link Regional Capitals.

Complete Kotoka Airport Fully into a Hub. 
Bring Ghana Airways back.
Have a good tourist infrastructure.",transportation,,
1573004892771336192,@theghana_report Road network is still a problem in Ghana,transportation,,
1572947748118491136,"...through the Ghana Highway Authority, is leading the implementation of the project, including the appointment of a contractor. We believe that this project will contribute significantly to improving the road network in the country and open it up for more economic activities. https://t.co/irk91p9C5K",transportation,,
1572829553797779461,@wode_maya This question is what many fail to ask. Buh the reality is that Ghana without western region is like Africa without Madagascar. Very very bad..road network since Nkrumah and infrastructure is terrible 😣😒😒,transportation,,
1572558112196038656,"@EnyonamManye @WFP_Ghana @FAOGhana @jcniyomugabo @AkezaGermaine @JMukundente @femagaz Africa problem not Global issue thou

1.  storage facility
2. Bad Road network
3. Value addition
4. Planting the Right crop at the right time
5. Price policy",transportation,,
1572300586753703937,@theghana_report Small small road network in Ghana will surely work!,transportation,,
1572081166978781184,"@Morris_Monye Ordinary Benin Republic and Ghana I see the difference,  good road network and sane people who obey traffic lights, no lastma or police at the traffic stops oh..they just obey.",transportation,,
1573973164736012288,@Ekitipikin boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾,transportation,,
1573949690701283330,@Ekitipikin boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾,transportation,,
1573861429530206209,@animal_lykCAT @tv3_ghana Your man dey come increase Transportation again that 😂 https://t.co/HFqJR6K4fB,transportation,,
1573741765525372930,"We launched a new website🤩
 
📍Travel Concierge page with detailed information about travel, recommended hotels, &amp; ground transportation

📍Itinerary Page with information about the amazing events planned in Ghana

📍Password gated Workshops page
 
👉🏾https://t.co/9IQmwTAuLA

/8",transportation,,
1573602757600223233,"MICHAEL OSEI 
CATEGORY: TRANSPORT / AUTOMOBILE
Brief Profile:

Michael Osei is tenaciously pursuing his goal of digitizing the delivery of transportation services in Ghana with great focus, tenacity, and resilience. In 2016, he began his transportation company without even https://t.co/ydtlkgHzb3",transportation,,
1573588902769836034,@Ekitipikin @SportyBet boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾 mayor,transportation,,
1573584482325741568,@SakasticBET @Ekitipikin boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾 mayor,transportation,,
1573498114471772179,@bossolamilekan1 @Ekitipikin boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾 mayor,transportation,,
1573407278845333504,@foundation_moe @Ekitipikin boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾,transportation,,
1573403442613288984,@tegaxnx @Ekitipikin @Iam_waycoded boss please i need your assistance. I’m in ghana to be honest na Hk i deh for ghana. It hasn’t been easy my chairman wan kill me here. we deh 7 in a single room. no be wetin i carry for mind come ghana be this. I pray you see this. I need transportation help me please🙏🏾,transportation,,
